Date,Open,High,Low,Close,Adj Close,Volume
2019-12-02,27.520000,27.520000,27.230000,27.325001,27.322086,1700
2019-12-03,27.410000,27.459999,27.410000,27.459999,27.457071,500
2019-12-04,27.700001,27.799000,27.690001,27.690001,27.687048,2100
2019-12-05,27.655001,27.659000,27.610001,27.610001,27.607056,900
2019-12-06,27.660000,27.690001,27.520000,27.690001,27.687048,1200
2019-12-09,27.680000,27.680000,27.548000,27.548000,27.545063,1700
2019-12-10,27.480000,27.535000,27.260000,27.535000,27.532064,3000
2019-12-11,27.650000,27.760000,27.600000,27.760000,27.757040,5800
2019-12-12,27.900000,28.065001,27.900000,28.030001,28.027012,1100
2019-12-13,28.100000,28.288000,28.100000,28.219999,28.216990,6200
2019-12-16,28.400000,28.500000,28.344000,28.379999,28.376972,4200
2019-12-17,28.209999,28.315001,28.090000,28.195000,28.191994,4700
2019-12-18,27.980000,28.010000,27.966999,27.990000,27.987015,800
2019-12-19,27.812000,27.834999,27.812000,27.834999,27.832031,200
2019-12-20,28.000000,28.000000,27.900000,27.955000,27.952019,2600
2019-12-23,27.924000,27.990000,27.924000,27.990000,27.987015,4600
2019-12-24,27.990000,27.990000,27.990000,27.990000,27.987015,0
2019-12-26,27.980000,28.190001,27.980000,28.055000,28.052010,175900
2019-12-27,28.260000,28.299999,28.139999,28.139999,28.136999,2900
2019-12-30,28.040001,28.040001,27.700001,27.700001,27.700001,4400
2019-12-31,27.860001,28.103001,27.770000,28.103001,28.103001,6300
2020-01-02,28.538000,28.663000,28.405001,28.500000,28.500000,1500
2020-01-03,27.980000,28.111000,27.969999,27.990000,27.990000,2700
2020-01-06,27.799999,28.004999,27.799999,28.004999,28.004999,600
2020-01-07,28.040001,28.066000,27.955000,27.955000,27.955000,600
2020-01-08,28.155001,28.260000,28.155001,28.260000,28.260000,1700
2020-01-09,28.430000,28.510000,28.360001,28.450001,28.450001,5700
2020-01-10,28.517000,28.517000,28.500000,28.500000,28.500000,800
2020-01-13,28.240000,28.530001,28.225000,28.450001,28.450001,2500
2020-01-14,28.341999,28.480000,28.341999,28.360001,28.360001,400
2020-01-15,28.450001,28.500000,28.316000,28.379999,28.379999,18800
2020-01-16,28.490000,28.490000,28.379999,28.459999,28.459999,7600
2020-01-17,28.559999,28.570000,28.320000,28.320000,28.320000,5400
2020-01-21,28.480000,28.510000,28.480000,28.480000,28.480000,3600
2020-01-22,28.400000,28.465000,28.400000,28.465000,28.465000,8200
2020-01-23,28.200001,28.280001,28.035000,28.275000,28.275000,1900
2020-01-24,28.559999,28.650000,28.230000,28.309999,28.309999,4900
2020-01-27,27.629999,27.844999,27.500000,27.705999,27.705999,7300
2020-01-28,27.629999,27.879999,27.620001,27.879999,27.879999,1800
2020-01-29,27.940001,27.940001,27.722000,27.855000,27.855000,3800
2020-01-30,27.559999,27.705000,27.504999,27.705000,27.705000,2200
2020-01-31,27.379999,27.379999,27.100000,27.100000,27.100000,16900
2020-02-03,27.230000,27.400000,27.230000,27.385000,27.385000,2100
2020-02-04,27.860001,27.927999,27.750000,27.820000,27.820000,1100
2020-02-05,28.120001,28.170000,28.120001,28.170000,28.170000,200
2020-02-06,28.389999,28.389999,28.242001,28.242001,28.242001,1300
2020-02-07,28.040001,28.040001,27.895000,27.950001,27.950001,700
2020-02-10,27.820000,28.017000,27.820000,27.975000,27.975000,12700
2020-02-11,28.160000,28.254999,28.160000,28.254999,28.254999,2700
2020-02-12,28.360001,28.559999,28.250000,28.455000,28.455000,4900
2020-02-13,28.459999,28.459999,28.275000,28.275000,28.275000,800
2020-02-14,28.400000,28.400000,28.264999,28.264999,28.264999,2600
2020-02-18,28.110001,28.200001,28.059999,28.059999,28.059999,2500
2020-02-19,28.120001,28.247999,28.120001,28.240000,28.240000,1300
2020-02-20,28.299999,28.299999,27.940001,27.940001,27.940001,1800
2020-02-21,27.941999,27.941999,27.839001,27.920000,27.920000,900
2020-02-24,26.799999,26.868999,26.214001,26.815001,26.815001,4900
2020-02-25,26.799999,26.799999,26.124001,26.150000,26.150000,16900
2020-02-26,26.260000,26.464001,26.100000,26.170000,26.170000,3300
2020-02-27,25.620001,26.003000,25.209999,25.209999,25.209999,10700
2020-02-28,24.510000,24.995001,24.473000,24.950001,24.950001,6400
2020-03-02,25.090000,25.420000,24.905001,25.360001,25.360001,3600
2020-03-03,25.719999,25.750000,25.000000,25.091000,25.091000,4900
2020-03-04,25.570000,25.719999,25.459999,25.719999,25.719999,1100
2020-03-05,25.270000,25.379999,25.010000,25.149000,25.149000,5100
2020-03-06,24.799999,24.899000,24.570000,24.815001,24.815001,4100
2020-03-09,22.980000,23.480000,22.690001,22.690001,22.690001,23200
2020-03-10,23.510000,23.570000,22.549999,23.295000,23.295000,12400
2020-03-11,22.760000,22.777000,21.955000,22.170000,22.170000,27000
2020-03-12,20.389999,21.549999,19.260000,19.660000,19.660000,31900
2020-03-13,20.740000,20.740000,19.287001,20.299999,20.299999,21500
2020-03-16,17.959999,19.129999,17.870001,18.290001,18.290001,81800
2020-03-17,18.250000,19.090000,17.969999,18.794001,18.794001,26100
2020-03-18,17.670000,17.950001,17.000000,17.385000,17.385000,80800
2020-03-19,17.260000,17.809999,17.090000,17.610001,17.610001,14800
2020-03-20,18.080000,18.480000,17.620001,17.635000,17.635000,12300
2020-03-23,18.090000,18.370001,17.650000,18.004999,18.004999,13000
2020-03-24,19.270000,19.980000,19.193001,19.743000,19.743000,19200
2020-03-25,19.980000,20.665001,19.740000,20.400000,20.400000,14700
2020-03-26,20.420000,21.020000,20.340000,21.018000,21.018000,22500
2020-03-27,20.250000,20.659000,20.000999,20.500000,20.500000,11200
2020-03-30,20.170000,20.760000,20.110001,20.625000,20.625000,19000
2020-03-31,20.740000,20.770000,20.340000,20.594999,20.594999,18400
2020-04-01,19.770000,20.135000,19.530001,19.601000,19.601000,7600
2020-04-02,20.098000,20.098000,19.500000,19.767000,19.767000,2300
2020-04-03,19.740000,19.740000,19.400000,19.597000,19.597000,169000
2020-04-06,20.600000,21.000000,20.568001,20.943001,20.943001,15200
2020-04-07,21.870001,21.870001,21.280001,21.290001,21.290001,72100
2020-04-08,21.469999,21.570000,21.059999,21.525000,21.525000,21100
